::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "DELETE /api/museums/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "POST /api/pieces HTTP/1.1" 200 210 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "POST /api/pieces HTTP/1.1" 500 2017 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/pieces HTTP/1.1" 200 378 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/pieces/name/test HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/pieces/123 HTTP/1.1" 404 245 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/pieces/5e02f6747b86ae52c801c4b3 HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/pieces/name/test HTTP/1.1" 200 204 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "PUT /api/pieces/5e02f6747b86ae52c801c4b3 HTTP/1.1" 200 211 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "PUT /api/pieces/5e02f6747b86ae52c801c4b3 HTTP/1.1" 200 211 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "GET /api/museums/name/test HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "DELETE /api/pieces/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [25/Dec/2019:05:41:08 +0000] "DELETE /api/pieces/ HTTP/1.1" 404 1987 "-" "node-superagent/3.8.3"
::1 - - [25/Dec/2019:05:43:39 +0000] "DELETE /api/museums/5e02f620b9354cb7d44d523d HTTP/1.1" 500 95 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:43:45 +0000] "GET /api/museums HTTP/1.1" 200 419 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:43:54 +0000] "DELETE /api/museums/5e02f6747b86ae52c801c4b0 HTTP/1.1" 200 240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
